code,consecutive_increase_all,last_MA,last_close,last_vol
CIG,1,2282.6,9060.0,890200
GIL,1,1674893.0,21250.0,4686200
TEG,1,6241622.0,6290.0,581400
AAA,0,7233714.0,7960.0,299400
PPC,0,16189948.0,10800.0,168900
RAL,0,372516.0,97000.0,600
QCG,0,5315606.0,13700.0,123400
PVT,0,38636156.4,17800.0,846300
PVP,0,439415.0,14850.0,33500
PVD,0,21296118.8,21050.0,1004200
PTL,0,10066.6,3290.0,27500
PTC,0,143578.0,7700.0,1100
PTB,0,9019457.6,50500.0,12400
PNC,0,55985.0,25900.0,801
POW,0,73827081.0,15900.0,1670500
QNP,0,0.0,29950.0,100
PNJ,0,165615758.0,84000.0,68000
PLX,0,213478255.0,36100.0,418300
PMG,0,9345071.0,7680.0,0
PLP,0,319232.0,5150.0,500
PJT,0,32449.4,9100.0,4600
PIT,0,17497.6,6810.0,100
PHR,0,18851843.0,57000.0,96000
PHC,0,88045.0,5560.0,7200
REE,0,265410438.8,64300.0,81300
RYG,0,25800.0,12150.0,48100
PGI,0,22624318.0,20450.0,1100
SFI,0,2192543.0,26000.0,2500
SMA,0,10418.0,9620.0,0
SJD,0,5364318.0,15200.0,45200
SIP,0,9940312.0,58200.0,51000
SHP,0,0.0,36250.0,3153
SHI,0,600578.2,14000.0,318900
SHB,0,209210438.6,16750.0,27196900
SGT,0,1639097.4,18400.0,6200
SGN,0,9089230.0,66400.0,5600
SGR,0,210995.0,29300.0,66200
SHA,0,289319.0,4300.0,100
SFG,0,0.0,10050.0,18302
S4A,0,0.0,36450.0,0
SFC,0,0.0,20050.0,0
SCR,0,2535774.0,8690.0,701700
SC5,0,337066.0,16700.0,1400
SBV,0,4027656.0,8010.0,500
SBG,0,672331.0,12750.0,41600
SBT,0,177698415.0,24450.0,308500
SBA,0,31993.4,29100.0,1300
SAV,0,13215227.8,15650.0,200
SAB,0,753376168.0,45600.0,126700
SAM,0,2957454.2,8790.0,677600
PGV,0,214226.0,20500.0,1600
PGD,0,45967644.0,24850.0,500
SMB,0,4005585.0,39500.0,10000
NAB,0,30408160.8,15800.0,1076300
MSN,0,383319583.6,79300.0,1226200
MSH,0,5753652.0,35900.0,21700
MSB,0,740584068.6,16650.0,9634500
MIG,0,32765378.6,17150.0,75000
MDG,0,300.0,14500.0,600
MCP,0,5087.0,28900.0,9500
MHC,0,404905.0,13750.0,56900
MCM,0,30140.0,28650.0,5200
LSS,0,105199.8,9690.0,88100
MBB,0,1401212130.8,26600.0,9115300
LPB,0,25267592.2,44700.0,1311300
LM8,0,8697.2,12800.0,200
LIX,0,1839281.0,34750.0,2100
LHG,0,5911898.0,30800.0,79500
LGL,0,253521.0,4280.0,55200
LGC,0,86736474.0,60000.0,0
LDG,0,2617995.0,4540.0,1206600
LCG,0,6558133.0,12600.0,2991400
LBM,0,5663965.0,37500.0,12600
LAF,0,383183.0,19200.0,8601
L10,0,94243.0,23200.0,0
MWG,0,711035328.8,69700.0,1148000
NAV,0,59885.0,17000.0,2406
PGC,0,1181230.0,13850.0,800
NCT,0,4178245.2,106800.0,11100
PET,0,173098.4,32050.0,531800
PDR,0,108127486.8,23350.0,5006500
PDN,0,26390.6,94000.0,600
PC1,0,54046958.0,26500.0,958100
PAC,0,8587181.8,27000.0,141400
PAN,0,46411424.0,31900.0,298600
OPC,0,0.0,22500.0,0
ORS,0,3259734.2,13450.0,1868600
OGC,0,1244616.0,4690.0,343200
OCB,0,488353740.4,13450.0,4002200
NVT,0,67540.0,8490.0,500
NVL,0,221257840.0,16300.0,4707600
NTL,0,19358417.0,19000.0,386800
NT2,0,29834928.0,21350.0,129800
NO1,0,1708480.0,7250.0,16000
NNC,0,872774.0,43700.0,2700
NLG,0,182102620.0,41100.0,518600
NKG,0,27921078.0,15650.0,2280600
NHH,0,423196.0,11700.0,29100
NHA,0,555239.0,23300.0,145800
NBB,0,449821.0,20950.0,113200
SKG,0,27528188.0,11000.0,45900
SJS,0,1851219.8,62900.0,2800
KOS,0,332513.0,38800.0,313500
VIP,0,8902125.4,13150.0,37000
VIC,0,149525643.8,133200.0,462300
VIB,0,169594851.8,22050.0,6095200
VHM,0,418869968.4,101500.0,815700
VHC,0,44725508.0,55500.0,248700
VGC,0,26413211.0,59300.0,293500
VFG,0,650458.0,58600.0,10900
VDS,0,4227207.0,23250.0,1928800
VDP,0,48961.0,39400.0,2238
VCI,0,204896392.0,43150.0,1498200
VCG,0,56198692.8,24850.0,2559200
VCF,0,133457.0,312900.0,600
VCB,0,1827112160.0,63500.0,1166500
VAB,0,1114572.0,12650.0,409400
VCA,0,3715.0,9740.0,1500
VAF,0,8034.0,18900.0,4201
UIC,0,0.0,47050.0,6900
TVT,0,10598.0,15850.0,100
TYA,0,2288890.0,17200.0,1100
TVS,0,32566620.0,21500.0,71400
TVB,0,1193146.0,8500.0,17100
TTE,0,13270.0,42600.0,1400
VID,0,375693.0,5040.0,5309
VIX,0,196846929.8,33450.0,9428700
SMC,0,14952539.0,11950.0,11600
VJC,0,43386633.6,142600.0,585600
YBM,0,5089.2,14450.0,900
VSH,0,26123427.0,46950.0,2600
VTO,0,6773735.6,11900.0,49900
VTP,0,6052094.0,99700.0,73600
VSI,0,102856.0,21800.0,2400
VSC,0,16416122.8,30050.0,3779100
VRC,0,55274.0,15200.0,9400
VRE,0,417654049.4,30400.0,894100
VPS,0,13015.0,9930.0,100
VPI,0,36640486.6,53000.0,941800
VPL,0,1736121.0,80300.0,700
VPG,0,508271.0,8650.0,62700
VPH,0,371734.0,5680.0,16800
VPD,0,33193086.0,25550.0,1100
VPB,0,2027257908.0,33950.0,15514000
VOS,0,1607029.0,15050.0,622500
VNS,0,1719998.0,9700.0,3217
VNL,0,1588793.0,22100.0,400
VNM,0,1019787913.0,59200.0,589800
VNE,0,874744.0,6150.0,40400
VND,0,262029500.0,21750.0,5076200
TTF,0,23784311.0,3060.0,319500
TTA,0,2456566.0,11800.0,117100
TRC,0,913036.0,69500.0,11300
TRA,0,19208262.0,66700.0,200
TCH,0,80958504.0,20150.0,1077100
TCD,0,2708668.0,2590.0,106400
TCB,0,1589078656.2,37750.0,8408100
TBC,0,508064.0,37900.0,300
TAL,0,54690.0,39400.0,587900
SZL,0,948035.0,47950.0,8500
SVD,0,48078.0,4160.0,600
SVT,0,37085.0,13200.0,100
SZC,0,4629993.0,34450.0,325200
SVI,0,12174387.0,57900.0,349
SVC,0,1037042.0,26600.0,1600
STK,0,17144903.0,25050.0,39200
STG,0,29517947.0,33000.0,2200
STB,0,380627769.0,53100.0,2691100
SSI,0,786942578.2,36900.0,11207000
ST8,0,155753.0,6550.0,25000
SSC,0,124258.0,35000.0,0
SSB,0,9457065.8,20550.0,774200
SRF,0,16328120.0,8520.0,105
SRC,0,0.0,30000.0,101
SPM,0,296780.0,11250.0,3212
TCL,0,1842374.0,34600.0,4600
TCI,0,6310175.0,10300.0,119400
TCO,0,38655.2,11400.0,172800
TLD,0,53474.0,7760.0,241600
TPC,0,397102.0,10000.0,700
TPB,0,654659835.6,20000.0,14907800
TNT,0,715799.0,7070.0,23200
TNC,0,107103.0,29000.0,100
TNH,0,78955456.6,16050.0,53700
TMT,0,898151.0,11700.0,1200
TMS,0,72050297.0,42000.0,417
TLH,0,1539001.0,5600.0,87000
TLG,0,11936056.8,52200.0,21800
TIP,0,11123812.0,18950.0,19600
TCM,0,55861368.0,29800.0,235200
THG,0,456530.8,52400.0,4500
TDP,0,59507.0,33500.0,104004
TDW,0,251236.0,57000.0,0
TDH,0,1255817.2,4540.0,27200
TDM,0,2459844.0,59000.0,101
TDC,0,2183600.0,12450.0,192600
TDG,0,287.4,3450.0,8100
TCT,0,260198.0,21400.0,100
TCR,0,4959744.0,2960.0,8900
KSB,0,1932227.0,18450.0,431100
KHP,0,0.0,12300.0,34118
KMR,0,35624302.2,3140.0,900
DBT,0,0.0,12100.0,6291
DAT,0,1100.4,7750.0,100
DAH,0,606.0,3690.0,102400
CVT,0,165659.0,28700.0,650
D2D,0,1134821.0,35900.0,9100
CTR,0,7232087.2,84900.0,141300
CTS,0,2013912.0,38200.0,834700
CTG,0,1436618738.6,49050.0,1970800
CSM,0,1206900.0,14500.0,182200
CTI,0,1531540.0,24250.0,170600
CTF,0,599005.0,20900.0,142200
CTD,0,48443570.8,74900.0,93200
CRE,0,18788158.0,10000.0,129300
CSV,0,1531493.0,33100.0,195000
CRC,0,9052.2,11100.0,421300
COM,0,22580.0,32000.0,3
CNG,0,661085.0,28500.0,15800
CMX,0,18890612.0,7100.0,50200
CMV,0,0.0,8230.0,102
CLL,0,1493399.0,34400.0,6900
CMG,0,81277836.6,39250.0,187900
CLW,0,534170.0,50700.0,15
DBD,0,14571609.0,53300.0,3200
DBC,0,15927919.6,26750.0,1474000
CKG,0,4443.2,14050.0,21400
DC4,0,1035479.0,12000.0,148600
DSN,0,1813866.0,44800.0,500
DSE,0,41829176.8,29250.0,222300
DSC,0,160930.0,20500.0,84100
DRH,0,2608102.0,3130.0,131800
DRL,0,54654.0,56800.0,100
DQC,0,201854.0,11550.0,4215
DPR,0,2646060.0,36250.0,203600
DRC,0,1100857.8,16950.0,53700
DPM,0,29238541.0,26150.0,573100
DPG,0,4408250.2,42550.0,330500
DMC,0,19698893.0,63000.0,8853
DIG,0,34991289.4,21950.0,5560700
DLG,0,22686212.0,2970.0,742200
DHC,0,35049621.0,30950.0,54900
DHA,0,1673662.0,48600.0,2000
DHM,0,9116.0,6300.0,1300
DHG,0,70444410.0,101400.0,600
DGW,0,53750629.0,40650.0,411600
DGC,0,52464918.4,97000.0,291200
DCM,0,36072630.0,38550.0,1033100
DCL,0,155372.6,21250.0,38200
CLC,0,529236.0,50800.0,823
CCC,0,0.0,15600.0,3600
ABT,0,278504.0,61500.0,800
BCG,0,10925282.0,3560.0,664100
ASM,0,47116505.0,8090.0,366300
AST,0,20224863.0,68000.0,5400
BAF,0,11854055.0,34450.0,1426400
ASP,0,18284564.0,4880.0,6700
ASG,0,695272.0,17000.0,300
ANV,0,7944789.8,26200.0,1265200
AGR,0,675900.0,16950.0,308600
APH,0,68861129.0,6800.0,86400
ACL,0,1078358.0,12200.0,200
AGG,0,1661839.0,19050.0,187000
ADS,0,131541.0,8590.0,40600
ADG,0,8607992.0,9100.0,200
APG,0,65105095.0,11600.0,25300
ADP,0,197720.0,26850.0,200
ACG,0,58003551.0,37000.0,2300
ACC,0,1569742.2,13900.0,800
AAM,0,98066.0,7200.0,500
ABR,0,9684900.0,13600.0,1000
ACB,0,1540986067.6,26400.0,6176900
AAT,0,583972.0,3350.0,5500
ABS,0,270.4,3700.0,31800
BBC,0,113929.0,87000.0,1503
BCE,0,1002154.0,10850.0,61300
CII,0,34023569.2,21750.0,30443500
BCM,0,22215703.0,64800.0,87300
CHP,0,957875.4,33700.0,57000
CCL,0,1290555.0,6980.0,58100
CDC,0,104959.0,27600.0,237900
CCI,0,0.0,25000.0,200
C47,0,3261.6,9770.0,14300
C32,0,157151.0,17500.0,10200
BWE,0,19689787.4,47250.0,12200
BMP,0,69437215.6,137700.0,18600
BTT,0,0.0,45600.0,1200
BVH,0,201572004.0,58000.0,108000
BSR,0,16120914.0,27100.0,7289700
BTP,0,4588100.0,11050.0,40200
BSI,0,91068638.0,50600.0,380800
BRC,0,207390.0,12800.0,100
BMC,0,558661.0,16800.0,2900
BMI,0,38858200.0,21400.0,129100
BKG,0,147400.0,2950.0,101100
BID,0,1223346298.0,40950.0,1854900
BIC,0,51221880.0,52100.0,42300
BHN,0,40713295.0,33200.0,600
BFC,0,2232501.0,43250.0,434000
DTA,0,36704.0,4900.0,800
DTL,0,3295.0,11400.0,550
DTT,0,15604.0,18500.0,0
HSL,0,199236.0,12500.0,9800
HQC,0,9930956.0,3690.0,1771900
HSG,0,59906182.8,18400.0,1618100
HPX,0,3298975.0,5340.0,537700
HPG,0,1645222636.4,26800.0,17489400
HNA,0,0.0,24300.0,10420
HMC,0,109748.0,11600.0,3000
HII,0,348405.0,4680.0,7700
HID,0,734763.0,2930.0,18400
HHV,0,54619975.2,14400.0,2893000
HHS,0,4657843.0,15450.0,729800
HHP,0,5967630.0,9020.0,1200
HDC,0,11599405.8,33750.0,1138800
HDG,0,68090444.0,30450.0,1742100
HDB,0,613219288.8,31350.0,2902700
HCM,0,276107102.6,26150.0,2508300
HCD,0,62904.0,7380.0,6300
HAX,0,9288975.0,13850.0,745600
HAS,0,1221856.0,8000.0,0
HAR,0,4068686.0,5390.0,981800
HAP,0,2036472.0,6390.0,2700
HAH,0,9002709.8,55300.0,617000
HRC,0,0.0,31700.0,100
HT1,0,10292203.0,16500.0,270200
DXG,0,269736554.0,20850.0,3820400
HTG,0,1413.0,47050.0,2600
KHG,0,5180650.0,6640.0,2159200
KDC,0,50537262.0,53100.0,104300
KDH,0,367181074.2,34300.0,1241300
KBC,0,139061503.6,38550.0,2426500
JVC,0,2143299.0,5080.0,36600
ITC,0,51632.6,15600.0,90500
ITD,0,435356.0,13600.0,24515
IMP,0,78764768.8,52300.0,8400
ILB,0,4906939.0,28500.0,8724
IJC,0,20046048.0,13200.0,478200
IDI,0,2153679.0,8010.0,360700
ICT,0,15832.0,13200.0,25100
HVX,0,418940.0,2920.0,3900
HVH,0,247910.0,14500.0,381200
HVN,0,197486227.0,30700.0,88200
HUB,0,346606.0,16250.0,3500
HU1,0,1701.0,5960.0,5602
HTV,0,0.0,13000.0,1401
HTN,0,1676145.0,11600.0,275200
HTL,0,3635009.0,26400.0,2636
HTI,0,1670617.2,22150.0,21200
HAG,0,33423702.0,16900.0,4189800
GVR,0,22971760.6,28350.0,1238100
GTA,0,12076.0,9500.0,229
GSP,0,82907.6,11300.0,1000
FUCTVGF5,0,80000.0,12100.0,0
FUCTVGF4,0,0.0,16900.0,7
FUCTVGF3,0,0.0,13700.0,0
FTS,0,87051537.6,37400.0,787700
FPT,0,585954056.0,98900.0,1457500
FIT,0,19350.2,4740.0,188800
FRT,0,54431720.2,126900.0,90700
FMC,0,20321386.0,36500.0,14600
FIR,0,178665.0,8600.0,446800
FDC,0,6831.0,16100.0,0
FCN,0,53397584.0,17350.0,857400
FCM,0,1501955.0,4030.0,53400
EVG,0,2782931.2,10050.0,606200
EVF,0,10808221.0,13600.0,2727000
EVE,0,28844462.0,10350.0,2700
ELC,0,2392382.0,21750.0,82800
EIB,0,98044721.0,27050.0,4771000
E1VFVN30,0,167734223.4,31600.0,462800
DXV,0,51750.0,3810.0,1200
DXS,0,119284244.0,11600.0,523600
DVP,0,4897073.0,74000.0,200
FUEABVND,0,1645199.0,12100.0,0
FUEBFVND,0,0.0,12510.0,0
FUCVREIT,0,47910.0,7990.0,100
FUESSVFL,0,8661458.0,32900.0,28700
GMH,0,125600.0,8400.0,1300
GMD,0,168666366.2,61100.0,668000
GEX,0,66042569.0,53100.0,1073100
GEG,0,195928313.0,15200.0,203200
FUEVN100,0,1166031.0,24250.0,30300
FUETCC50,0,300580.0,13540.0,900
GEE,0,1149077.0,115500.0,136800
GDT,0,1451853.0,20750.0,3300
GAS,0,42736901.6,68900.0,184800
FUEVFVND,0,337910435.0,38140.0,101200
FUEDCMID,0,22796252.0,15350.0,1500
FUESSV50,0,1586099.0,27500.0,4300
FUESSV30,0,2215122.0,22300.0,2000
FUEMAVND,0,20643098.0,15840.0,13100
FUEMAV30,0,44374224.0,21780.0,31600
FUEKIVND,0,5295480.0,14240.0,200
FUEKIV30,0,191151800.0,12100.0,67100
FUEKIVFS,0,15599640.0,18800.0,200
FUEIP100,0,73140.0,11550.0,3
FUEFCV50,0,104305.0,15400.0,10793
YEG,0,22978314.0,13850.0,630400
